drugbank_id	inchikey	inchikey14
DB00900	BXZVVICBKDXVGW-NKWVEPMBSA-N	BXZVVICBKDXVGW
DB00901	FZGVEKPRDOIXJY-UHFFFAOYSA-N	FZGVEKPRDOIXJY
DB00902	HTMIBDQKFHUPSX-UHFFFAOYSA-N	HTMIBDQKFHUPSX
DB00903	AVOLMBLBETYQHX-UHFFFAOYSA-N	AVOLMBLBETYQHX
DB00904	FELGMEQIXOGIFQ-UHFFFAOYSA-N	FELGMEQIXOGIFQ
DB00905	AQOKCDNYWBIDND-FTOWTWDKSA-N	AQOKCDNYWBIDND
DB00906	PBJUNZJWGZTSKL-MRXNPFEDSA-N	PBJUNZJWGZTSKL
DB00907	ZPUCINDJVBIVPJ-LJISPDSOSA-N	ZPUCINDJVBIVPJ
DB00908	LOUPRKONTZGTKE-LHHVKLHASA-N	LOUPRKONTZGTKE
DB00909	UBQNRHZMVUUOMG-UHFFFAOYSA-N	UBQNRHZMVUUOMG
DB00910	BPKAHTKRCLCHEA-UBFJEZKGSA-N	BPKAHTKRCLCHEA
DB00911	HJLSLZFTEKNLFI-UHFFFAOYSA-N	HJLSLZFTEKNLFI
DB00912	FAEKWTJYAYMJKF-QHCPKHFHSA-N	FAEKWTJYAYMJKF
DB00913	LKYQLAWMNBFNJT-UHFFFAOYSA-N	LKYQLAWMNBFNJT
DB00914	ICFJFFQQTFMIBG-UHFFFAOYSA-N	ICFJFFQQTFMIBG
DB00915	DKNWSYNQZKUICI-UHFFFAOYSA-N	DKNWSYNQZKUICI
DB00916	VAOCPAMSLUNLGC-UHFFFAOYSA-N	VAOCPAMSLUNLGC
DB00917	XEYBRNLFEZDVAW-ARSRFYASSA-N	XEYBRNLFEZDVAW
DB00918	WKEMJKQOLOHJLZ-UHFFFAOYSA-N	WKEMJKQOLOHJLZ
DB00919	UNFWWIHTNXNPBV-WXKVUWSESA-N	UNFWWIHTNXNPBV
DB00920	ZCVMWBYGMWKGHF-UHFFFAOYSA-N	ZCVMWBYGMWKGHF
DB00921	RMRJXGBAOAMLHD-IHFGGWKQSA-N	RMRJXGBAOAMLHD
DB00922	WHXMKTBCFHIYNQ-SECBINFHSA-N	WHXMKTBCFHIYNQ
DB00923	SLAYUXIURFNXPG-CRAIPNDOSA-N	SLAYUXIURFNXPG
DB00924	JURKNVYFZMSNLP-UHFFFAOYSA-N	JURKNVYFZMSNLP
DB00925	QZVCTJOXCFMACW-UHFFFAOYSA-N	QZVCTJOXCFMACW
DB00926	HQMNCQVAMBCHCO-UHFFFAOYSA-N	HQMNCQVAMBCHCO
DB00927	XUFQPHANEAPEMJ-UHFFFAOYSA-N	XUFQPHANEAPEMJ
DB00928	NMUSYJAQQFHJEW-KVTDHHQDSA-N	NMUSYJAQQFHJEW
DB00929	OJLOPKGSLYJEMD-URPKTTJQSA-N	OJLOPKGSLYJEMD
DB00931	XIYOPDCBBDCGOE-IWVLMIASSA-N	XIYOPDCBBDCGOE
DB00932	SUJUHGSWHZTSEU-FYBSXPHGSA-N	SUJUHGSWHZTSEU
DB00933	SLVMESMUVMCQIY-UHFFFAOYSA-N	SLVMESMUVMCQIY
DB00934	QSLMDECMDJKHMQ-UHFFFAOYSA-N	QSLMDECMDJKHMQ
DB00935	WYWIFABBXFUGLM-UHFFFAOYSA-N	WYWIFABBXFUGLM
DB00936	YGSDEFSMJLZEOE-UHFFFAOYSA-N	YGSDEFSMJLZEOE
DB00937	XXEPPPIWZFICOJ-UHFFFAOYSA-N	XXEPPPIWZFICOJ
DB00938	GIIZNNXWQWCKIB-UHFFFAOYSA-N	GIIZNNXWQWCKIB
DB00939	SBDNJUWAMKYJOX-UHFFFAOYSA-N	SBDNJUWAMKYJOX
DB00940	GZHFODJQISUKAY-UHFFFAOYSA-N	GZHFODJQISUKAY
DB00941	HDZAQYPYABGTCL-UHFFFAOYSA-N	HDZAQYPYABGTCL
DB00942	SWRUZBWLEWHWRI-UHFFFAOYSA-N	SWRUZBWLEWHWRI
DB00943	WREGKURFCTUGRC-POYBYMJQSA-N	WREGKURFCTUGRC
DB00944	RWZVPVOZTJJMNU-UHFFFAOYSA-N	RWZVPVOZTJJMNU
DB00945	BSYNRYMUTXBXSQ-UHFFFAOYSA-N	BSYNRYMUTXBXSQ
DB00946	DQDAYGNAKTZFIW-UHFFFAOYSA-N	DQDAYGNAKTZFIW
DB00947	VWUXBMIQPBEWFH-WCCTWKNTSA-N	VWUXBMIQPBEWFH
DB00948	YPBATNHYBCGSSN-VWPFQQQWSA-N	YPBATNHYBCGSSN
DB00949	WKGXYQFOCVYPAC-UHFFFAOYSA-N	WKGXYQFOCVYPAC
DB00950	RWTNPBWLLIMQHL-UHFFFAOYSA-N	RWTNPBWLLIMQHL
DB00951	QRXWMOHMRWLFEY-UHFFFAOYSA-N	QRXWMOHMRWLFEY
DB00952	AMKVXSZCKVJAGH-UHFFFAOYSA-N	AMKVXSZCKVJAGH
DB00953	ULFRLSNUDGIQQP-UHFFFAOYSA-N	ULFRLSNUDGIQQP
DB00954	WLOHNSSYAXHWNR-DWIOZXRMSA-N	WLOHNSSYAXHWNR
DB00955	CIDUJQMULVCIBT-MQDUPKMGSA-N	CIDUJQMULVCIBT
DB00956	LLPOLZWFYMWNKH-CMKMFDCUSA-N	LLPOLZWFYMWNKH
DB00957	KIQQMECNKUGGKA-NMYWJIRASA-N	KIQQMECNKUGGKA
DB00958	CCQPAEQGAVNNIA-UHFFFAOYSA-N	CCQPAEQGAVNNIA
