gene_symbol	mechanism	basis	confidence	detail
JPH3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99855, LOEUF=0.202)
JPH4	LoF	gnomad	medium	LoF-intolerant (pLI=0.99948, LOEUF=0.137)
KAL1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99793, LOEUF=0.248)
KALRN	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.152)
KANSL1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
KANSL3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.16)
KAT2B	LoF	gnomad	medium	LoF-intolerant (pLI=0.98975, LOEUF=0.294)
KAT6A	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
KAT6B	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
KAT7	LoF	gnomad	medium	LoF-intolerant (pLI=0.99999, LOEUF=0.128)
KBTBD2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99795, LOEUF=0.234)
KBTBD6	LoF	gnomad	medium	LoF-intolerant (pLI=0.97282, LOEUF=0.316)
KCMF1	LoF	gnomad	medium	LoF-intolerant (pLI=0.97719, LOEUF=0.296)
KCNA2	LoF	gnomad	medium	LoF-intolerant (pLI=0.91067, LOEUF=0.38)
KCNA4	LoF	gnomad	medium	LoF-intolerant (pLI=0.98327, LOEUF=0.281)
KCNB1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99977, LOEUF=0.125)
KCNB2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99613, LOEUF=0.262)
KCNC1	LoF	gnomad	medium	LoF-intolerant (pLI=0.98957, LOEUF=0.262)
KCND3	LoF	gnomad	medium	LoF-intolerant (pLI=0.98972, LOEUF=0.279)
KCNH2	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
KCNH3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99919, LOEUF=0.247)
KCNH4	LoF	gnomad	medium	LoF-intolerant (pLI=0.99984, LOEUF=0.215)
KCNJ3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99108, LOEUF=0.256)
KCNJ4	LoF	gnomad	medium	LoF-intolerant (pLI=0.9649, LOEUF=0.287)
KCNK12	LoF	gnomad	medium	LoF-intolerant (pLI=0.91853, LOEUF=0.372)
KCNK3	LoF	gnomad	medium	LoF-intolerant (pLI=0.90018, LOEUF=0.401)
KCNK9	LoF	gnomad	medium	LoF-intolerant (pLI=0.95519, LOEUF=0.307)
KCNMA1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99731, LOEUF=0.276)
KCNMB4	LoF	gnomad	medium	LoF-intolerant (pLI=0.93853, LOEUF=0.338)
KCNN2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99099, LOEUF=0.274)
KCNN3	LoF	gnomad	medium	LoF-intolerant (pLI=0.97227, LOEUF=0.319)
KCNQ1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
KCNQ2	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
KCNQ5	LoF	gnomad	medium	LoF-intolerant (pLI=0.98011, LOEUF=0.306)
KCNV1	LoF	gnomad	medium	LoF-intolerant (pLI=0.97796, LOEUF=0.295)
KCTD16	LoF	gnomad	medium	LoF-intolerant (pLI=0.99329, LOEUF=0.2)
KDM1A	LoF	gnomad	medium	LoF-intolerant (pLI=0.99667, LOEUF=0.276)
KDM2A	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.045)
KDM2B	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.178)
KDM3A	LoF	gnomad	medium	LoF-intolerant (pLI=0.99999, LOEUF=0.219)
KDM3B	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.06)
KDM4A	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.156)
KDM4B	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.171)
KDM5A	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.163)
KDM5C	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
KDM5D	LoF	gnomad	medium	LoF-intolerant (pLI=0.92793, LOEUF=0.359)
